"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 06 02:39:42 UTC 2024","Tue Feb 06 02:39:44 UTC 2024","2529","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Tue Feb 06 02:21:32 UTC 2024","Tue Feb 06 02:21:48 UTC 2024","15806","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Tue Feb 06 04:02:19 UTC 2024","Tue Feb 06 04:02:47 UTC 2024","27664","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Tue Feb 06 02:20:12 UTC 2024","Tue Feb 06 02:20:12 UTC 2024","23","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Tue Feb 06 02:21:59 UTC 2024","Tue Feb 06 02:22:23 UTC 2024","24285","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Tue Feb 06 02:29:39 UTC 2024","Tue Feb 06 02:29:39 UTC 2024","245","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Tue Feb 06 02:38:40 UTC 2024","Tue Feb 06 02:38:45 UTC 2024","4755","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Tue Feb 06 02:47:14 UTC 2024","Tue Feb 06 02:48:23 UTC 2024","69125","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Tue Feb 06 04:04:37 UTC 2024","Tue Feb 06 04:04:41 UTC 2024","4534","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Tue Feb 06 03:58:05 UTC 2024","Tue Feb 06 03:58:05 UTC 2024","324","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Tue Feb 06 03:15:11 UTC 2024","Tue Feb 06 03:15:13 UTC 2024","2264","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Tue Feb 06 02:29:49 UTC 2024","Tue Feb 06 02:29:49 UTC 2024","584","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Feb 06 04:01:59 UTC 2024","Tue Feb 06 04:01:59 UTC 2024","16","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
